filename,ipa,pct,time,formant,formant_value
bayed1_11.wav,eɪ,5%,0.14288718596033273,f1,392.126407495541
bayed1_11.wav,eɪ,5%,0.14288718596033273,f2,1974.8685554350996
bayed1_11.wav,eɪ,10%,0.15728323324199928,f1,415.3040875987748
bayed1_11.wav,eɪ,10%,0.15728323324199928,f2,2183.584070699064
bayed1_11.wav,eɪ,15%,0.17167928052366585,f1,390.06038678581285
bayed1_11.wav,eɪ,15%,0.17167928052366585,f2,2248.9934560584334
bayed1_11.wav,eɪ,20%,0.18607532780533242,f1,386.7762167293759
bayed1_11.wav,eɪ,20%,0.18607532780533242,f2,2381.522721479466
bayed1_11.wav,eɪ,25%,0.20047137508699897,f1,372.46407939590813
bayed1_11.wav,eɪ,25%,0.20047137508699897,f2,2418.119378758578
bayed1_11.wav,eɪ,30%,0.21486742236866554,f1,368.17035818508697
bayed1_11.wav,eɪ,30%,0.21486742236866554,f2,2491.759472497324
bayed1_11.wav,eɪ,35%,0.22926346965033212,f1,360.83332221581526
bayed1_11.wav,eɪ,35%,0.22926346965033212,f2,2488.83129544131
bayed1_11.wav,eɪ,40%,0.24365951693199867,f1,349.9042094955483
bayed1_11.wav,eɪ,40%,0.24365951693199867,f2,2526.9031143713387
bayed1_11.wav,eɪ,45%,0.25805556421366527,f1,341.61909729425065
bayed1_11.wav,eɪ,45%,0.25805556421366527,f2,2531.6718690856846
bayed1_11.wav,eɪ,50%,0.2724516114953318,f1,336.408633017902
bayed1_11.wav,eɪ,50%,0.2724516114953318,f2,2573.300640506423
bayed1_11.wav,eɪ,55%,0.28684765877699836,f1,335.273229480496
bayed1_11.wav,eɪ,55%,0.28684765877699836,f2,2594.447583342315
bayed1_11.wav,eɪ,60%,0.3012437060586649,f1,332.07176465759653
bayed1_11.wav,eɪ,60%,0.3012437060586649,f2,2611.780417221928
bayed1_11.wav,eɪ,65%,0.31563975334033145,f1,326.9637873940733
bayed1_11.wav,eɪ,65%,0.31563975334033145,f2,2590.7204484213657
bayed1_11.wav,eɪ,70%,0.33003580062199805,f1,316.5414342947913
bayed1_11.wav,eɪ,70%,0.33003580062199805,f2,2579.132821448248
bayed1_11.wav,eɪ,75%,0.3444318479036646,f1,310.6850495227803
bayed1_11.wav,eɪ,75%,0.3444318479036646,f2,2542.6851440589157
bayed1_11.wav,eɪ,80%,0.3588278951853312,f1,306.4432490185901
bayed1_11.wav,eɪ,80%,0.3588278951853312,f2,2560.2151226582614
bayed1_11.wav,eɪ,85%,0.37322394246699775,f1,291.1759922603313
bayed1_11.wav,eɪ,85%,0.37322394246699775,f2,2568.804943364882
bayed1_11.wav,eɪ,90%,0.3876199897486643,f1,289.961721719412
bayed1_11.wav,eɪ,90%,0.3876199897486643,f2,2548.638030846004
bayed1_11.wav,eɪ,95%,0.40201603703033084,f1,294.40843884992677
bayed1_11.wav,eɪ,95%,0.40201603703033084,f2,2516.739090982239
bayed2_11.wav,eɪ,5%,0.17785783309653388,f1,433.2031704816306
bayed2_11.wav,eɪ,5%,0.17785783309653388,f2,2030.1847684520253
bayed2_11.wav,eɪ,10%,0.1934714019032226,f1,411.76953801825476
bayed2_11.wav,eɪ,10%,0.1934714019032226,f2,2369.368736124789
bayed2_11.wav,eɪ,15%,0.2090849707099113,f1,405.0750648406311
bayed2_11.wav,eɪ,15%,0.2090849707099113,f2,2466.703756779599
bayed2_11.wav,eɪ,20%,0.22469853951660002,f1,403.6373291694484
bayed2_11.wav,eɪ,20%,0.22469853951660002,f2,2498.068404299707
bayed2_11.wav,eɪ,25%,0.2403121083232887,f1,387.1750387273105
bayed2_11.wav,eɪ,25%,0.2403121083232887,f2,2509.571299305863
bayed2_11.wav,eɪ,30%,0.25592567712997744,f1,355.52482298881637
bayed2_11.wav,eɪ,30%,0.25592567712997744,f2,2521.970957978685
bayed2_11.wav,eɪ,35%,0.2715392459366661,f1,355.80983728126796
bayed2_11.wav,eɪ,35%,0.2715392459366661,f2,2610.6846969782923
bayed2_11.wav,eɪ,40%,0.28715281474335486,f1,352.35245140147043
bayed2_11.wav,eɪ,40%,0.28715281474335486,f2,2611.9212337050103
bayed2_11.wav,eɪ,45%,0.30276638355004354,f1,336.91481457010747
bayed2_11.wav,eɪ,45%,0.30276638355004354,f2,2600.404273671447
bayed2_11.wav,eɪ,50%,0.3183799523567322,f1,331.2972486863015
bayed2_11.wav,eɪ,50%,0.3183799523567322,f2,2611.63357894901
bayed2_11.wav,eɪ,55%,0.33399352116342096,f1,325.4398485077105
bayed2_11.wav,eɪ,55%,0.33399352116342096,f2,2651.0465921576256
bayed2_11.wav,eɪ,60%,0.3496070899701097,f1,322.84322097407636
bayed2_11.wav,eɪ,60%,0.3496070899701097,f2,2646.782352972476
bayed2_11.wav,eɪ,65%,0.3652206587767984,f1,315.1443405561593
bayed2_11.wav,eɪ,65%,0.3652206587767984,f2,2651.4521321952866
bayed2_11.wav,eɪ,70%,0.38083422758348706,f1,297.79367377820984
bayed2_11.wav,eɪ,70%,0.38083422758348706,f2,2625.8041954248088
bayed2_11.wav,eɪ,75%,0.3964477963901758,f1,294.23362552158466
bayed2_11.wav,eɪ,75%,0.3964477963901758,f2,2608.987006957349
bayed2_11.wav,eɪ,80%,0.41206136519686454,f1,287.8827011841553
bayed2_11.wav,eɪ,80%,0.41206136519686454,f2,2550.322442876869
bayed2_11.wav,eɪ,85%,0.4276749340035532,f1,280.28888825919176
bayed2_11.wav,eɪ,85%,0.4276749340035532,f2,2446.80748830594
